timestamp_s,mode,voltage_V,current_A,power_W
1156.94,TRANSIT,5.168000221252441,1.2319999933242798,6.366975784301758
1157.94,TRANSIT,5.159999847412109,1.2879999876022339,6.646080017089844
1158.94,TRANSIT,5.159999847412109,1.4160000085830688,7.306560039520264
1159.94,TRANSIT,5.159999847412109,1.2799999713897705,6.604800224304199
1160.94,TRANSIT,5.159999847412109,1.3040000200271606,6.728640079498291
1161.94,TRANSIT,5.168000221252441,1.215999960899353,6.284287929534912
1162.94,TRANSIT,5.168000221252441,1.184000015258789,6.118912220001221
1163.94,TRANSIT,5.168000221252441,1.2400000095367432,6.40831995010376
1164.94,TRANSIT,5.168000221252441,1.1440000534057617,5.912191867828369
1165.94,TRANSIT,5.159999847412109,1.2960000038146973,6.687359809875488
1166.94,DECISION,5.159999847412109,1.3279999494552612,6.852479934692383
1167.94,DECISION,5.159999847412109,1.3040000200271606,6.728640079498291
1168.94,DECISION,5.159999847412109,1.440000057220459,7.4303998947143555
1169.94,DECISION,5.1519999504089355,1.6080000400543213,8.284416198730469
1170.94,DECISION,5.1519999504089355,1.6319999694824219,8.408063888549805
1172.12,STANDBY,5.1519999504089355,1.6480000019073486,8.490495681762695
1172.95,STANDBY,5.1519999504089355,1.559999942779541,8.03711986541748
1175.38,TRANSIT,5.1519999504089355,1.6640000343322754,8.572928428649902
1176.01,TRANSIT,5.1519999504089355,1.5759999752044678,8.119551658630371
1176.94,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1177.94,TRANSIT,5.1519999504089355,1.656000018119812,8.53171157836914
1178.94,TRANSIT,5.1519999504089355,1.6399999856948853,8.44927978515625
1179.94,TRANSIT,5.1519999504089355,1.6480000019073486,8.490495681762695
1180.94,TRANSIT,5.159999847412109,1.3279999494552612,6.852479934692383
1181.94,TRANSIT,5.159999847412109,1.312000036239624,6.7699198722839355
1182.94,TRANSIT,5.159999847412109,1.2719999551773071,6.5635199546813965
1183.94,DECISION,5.159999847412109,1.343999981880188,6.93503999710083
